,Company_id,id_visiter,time_enter,time_exit
0,2,1,2020-01-01 00:00:00,2020-01-01 00:03:19
1,1,2,2020-01-01 00:07:04,2020-01-01 00:08:05
2,1,1,2020-01-01 00:03:19,2020-01-01 00:08:11
3,2,3,2020-01-01 00:11:02,2020-01-01 00:16:10
4,3,3,2020-01-01 00:16:10,2020-01-01 00:19:36
5,1,3,2020-01-01 00:19:36,2020-01-01 00:21:27
6,2,6,2020-01-01 00:21:01,2020-01-01 00:24:08
7,2,5,2020-01-01 00:18:02,2020-01-01 00:24:32
8,1,7,2020-01-01 00:25:50,2020-01-01 00:30:08
9,1,6,2020-01-01 00:24:08,2020-01-01 00:30:36
10,2,7,2020-01-01 00:30:08,2020-01-01 00:32:50
11,5,4,2020-01-01 00:14:56,2020-01-01 00:33:32
12,3,8,2020-01-01 00:30:20,2020-01-01 00:36:20
13,2,9,2020-01-01 00:33:35,2020-01-01 00:36:28
14,3,4,2020-01-01 00:33:32,2020-01-01 00:41:02
15,5,10,2020-01-01 00:42:00,2020-01-01 00:42:00
16,3,10,2020-01-01 00:42:00,2020-01-01 00:44:24
17,2,4,2020-01-01 00:41:02,2020-01-01 00:47:35
18,2,10,2020-01-01 00:44:24,2020-01-01 00:50:34
19,5,6,2020-01-01 00:30:36,2020-01-01 00:51:50
20,2,12,2020-01-01 00:50:23,2020-01-01 00:54:55
21,1,10,2020-01-01 00:50:34,2020-01-01 00:55:40
22,5,8,2020-01-01 00:36:20,2020-01-01 00:57:00
23,4,12,2020-01-01 00:54:55,2020-01-01 00:58:05
24,2,8,2020-01-01 00:57:00,2020-01-01 00:59:24
25,1,8,2020-01-01 00:59:24,2020-01-01 01:03:32
26,2,14,2020-01-01 01:02:28,2020-01-01 01:11:26
27,2,17,2020-01-01 01:18:57,2020-01-01 01:22:24
28,2,16,2020-01-01 01:15:43,2020-01-01 01:24:56
29,2,18,2020-01-01 01:22:48,2020-01-01 01:27:29
30,1,16,2020-01-01 01:24:56,2020-01-01 01:27:34
31,5,15,2020-01-01 01:11:32,2020-01-01 01:31:57
32,2,20,2020-01-01 01:30:35,2020-01-01 01:34:54
33,1,15,2020-01-01 01:31:57,2020-01-01 01:35:03
34,1,18,2020-01-01 01:27:29,2020-01-01 01:36:06
35,4,18,2020-01-01 01:36:06,2020-01-01 01:36:06
36,4,21,2020-01-01 01:36:10,2020-01-01 01:36:10
37,3,21,2020-01-01 01:36:10,2020-01-01 01:39:22
38,4,15,2020-01-01 01:35:03,2020-01-01 01:40:57
39,1,21,2020-01-01 01:39:22,2020-01-01 01:43:23
40,1,22,2020-01-01 01:40:25,2020-01-01 01:45:24
41,1,24,2020-01-01 01:50:01,2020-01-01 01:53:53
42,1,23,2020-01-01 01:47:25,2020-01-01 01:54:59
43,2,24,2020-01-01 01:53:53,2020-01-01 01:58:34
44,1,25,2020-01-01 01:53:21,2020-01-01 02:01:13
45,5,22,2020-01-01 01:45:24,2020-01-01 02:05:15
46,4,29,2020-01-01 02:06:29,2020-01-01 02:06:29
47,3,28,2020-01-01 02:03:58,2020-01-01 02:07:58
48,4,25,2020-01-01 02:01:13,2020-01-01 02:07:59
49,2,28,2020-01-01 02:07:58,2020-01-01 02:12:50
50,2,30,2020-01-01 02:10:10,2020-01-01 02:13:11
51,2,25,2020-01-01 02:07:59,2020-01-01 02:15:41
52,4,28,2020-01-01 02:12:50,2020-01-01 02:17:05
53,2,31,2020-01-01 02:14:33,2020-01-01 02:18:06
54,5,32,2020-01-01 02:19:33,2020-01-01 02:19:33
55,3,25,2020-01-01 02:15:41,2020-01-01 02:21:04
56,5,27,2020-01-01 02:01:44,2020-01-01 02:21:07
57,1,27,2020-01-01 02:21:07,2020-01-01 02:23:30
58,4,33,2020-01-01 02:23:17,2020-01-01 02:26:43
59,2,27,2020-01-01 02:23:30,2020-01-01 02:27:56
60,5,30,2020-01-01 02:13:11,2020-01-01 02:31:06
61,1,33,2020-01-01 02:26:43,2020-01-01 02:32:26
62,2,34,2020-01-01 02:29:10,2020-01-01 02:35:41
63,1,30,2020-01-01 02:31:06,2020-01-01 02:36:43
64,3,33,2020-01-01 02:32:26,2020-01-01 02:37:26
65,3,35,2020-01-01 02:35:04,2020-01-01 02:40:24
66,4,30,2020-01-01 02:36:43,2020-01-01 02:44:58
67,2,35,2020-01-01 02:40:24,2020-01-01 02:45:37
68,4,35,2020-01-01 02:45:37,2020-01-01 02:50:46
69,1,38,2020-01-01 02:51:14,2020-01-01 02:56:05
70,1,39,2020-01-01 02:56:48,2020-01-01 03:00:44
71,5,37,2020-01-01 02:45:02,2020-01-01 03:05:11
72,2,37,2020-01-01 03:05:11,2020-01-01 03:08:33
73,1,40,2020-01-01 03:02:26,2020-01-01 03:08:34
74,2,40,2020-01-01 03:08:34,2020-01-01 03:14:26
75,2,42,2020-01-01 03:13:30,2020-01-01 03:15:44
76,1,37,2020-01-01 03:08:33,2020-01-01 03:17:25
77,1,42,2020-01-01 03:15:44,2020-01-01 03:22:38
78,3,37,2020-01-01 03:17:25,2020-01-01 03:23:40
79,2,43,2020-01-01 03:20:17,2020-01-01 03:24:41
80,1,43,2020-01-01 03:24:41,2020-01-01 03:27:57
81,5,41,2020-01-01 03:08:50,2020-01-01 03:28:02
82,1,41,2020-01-01 03:28:02,2020-01-01 03:32:50
83,1,45,2020-01-01 03:33:06,2020-01-01 03:40:16
84,3,46,2020-01-01 03:36:52,2020-01-01 03:41:26
85,2,41,2020-01-01 03:32:50,2020-01-01 03:41:51
86,5,42,2020-01-01 03:22:38,2020-01-01 03:42:25
87,1,46,2020-01-01 03:41:26,2020-01-01 03:46:56
88,4,48,2020-01-01 03:46:37,2020-01-01 03:48:43
89,2,48,2020-01-01 03:48:43,2020-01-01 03:48:56
90,2,46,2020-01-01 03:46:56,2020-01-01 03:49:41
91,2,49,2020-01-01 03:53:50,2020-01-01 04:00:41
92,1,49,2020-01-01 04:00:41,2020-01-01 04:05:26
93,1,50,2020-01-01 04:01:55,2020-01-01 04:08:52
94,2,52,2020-01-01 04:14:55,2020-01-01 04:20:46
95,4,52,2020-01-01 04:20:46,2020-01-01 04:26:45
96,2,53,2020-01-01 04:22:09,2020-01-01 04:27:51
97,2,54,2020-01-01 04:28:21,2020-01-01 04:34:54
98,3,57,2020-01-01 04:38:29,2020-01-01 04:39:59
99,2,56,2020-01-01 04:34:49,2020-01-01 04:41:44
100,1,54,2020-01-01 04:34:54,2020-01-01 04:42:24
101,2,59,2020-01-01 04:39:54,2020-01-01 04:44:28
102,5,52,2020-01-01 04:26:45,2020-01-01 04:44:36
103,1,56,2020-01-01 04:41:44,2020-01-01 04:45:31
104,4,60,2020-01-01 04:44:25,2020-01-01 04:46:15
105,2,60,2020-01-01 04:46:15,2020-01-01 04:47:38
106,2,57,2020-01-01 04:39:59,2020-01-01 04:49:03
107,1,61,2020-01-01 04:48:17,2020-01-01 04:54:14
108,3,63,2020-01-01 04:52:45,2020-01-01 04:57:41
109,2,63,2020-01-01 04:57:41,2020-01-01 04:59:56
110,5,62,2020-01-01 04:49:00,2020-01-01 05:09:47
111,1,65,2020-01-01 05:06:41,2020-01-01 05:13:34
112,3,62,2020-01-01 05:09:47,2020-01-01 05:16:46
113,5,64,2020-01-01 04:59:57,2020-01-01 05:17:40
114,5,66,2020-01-01 05:13:07,2020-01-01 05:35:15
115,2,68,2020-01-01 05:27:35,2020-01-01 05:35:54
116,1,68,2020-01-01 05:35:54,2020-01-01 05:38:33
117,4,70,2020-01-01 05:40:44,2020-01-01 05:40:44
118,1,69,2020-01-01 05:34:37,2020-01-01 05:41:45
119,4,66,2020-01-01 05:35:15,2020-01-01 05:43:21
120,2,70,2020-01-01 05:40:44,2020-01-01 05:46:06
121,1,66,2020-01-01 05:43:21,2020-01-01 05:47:12
122,2,69,2020-01-01 05:41:45,2020-01-01 05:48:51
123,3,71,2020-01-01 05:47:54,2020-01-01 05:53:38
124,3,72,2020-01-01 05:51:57,2020-01-01 05:57:10
125,3,73,2020-01-01 05:57:21,2020-01-01 06:01:00
126,2,71,2020-01-01 05:53:38,2020-01-01 06:01:07
127,1,72,2020-01-01 05:57:10,2020-01-01 06:02:23
128,3,74,2020-01-01 06:04:01,2020-01-01 06:11:13
129,2,75,2020-01-01 06:07:35,2020-01-01 06:11:27
130,1,76,2020-01-01 06:11:08,2020-01-01 06:16:29
131,4,74,2020-01-01 06:11:13,2020-01-01 06:17:44
132,5,71,2020-01-01 06:01:07,2020-01-01 06:18:27
133,3,77,2020-01-01 06:18:10,2020-01-01 06:22:44
134,4,71,2020-01-01 06:18:27,2020-01-01 06:26:07
135,1,77,2020-01-01 06:22:44,2020-01-01 06:27:51
136,3,78,2020-01-01 06:26:19,2020-01-01 06:32:26
137,1,71,2020-01-01 06:26:07,2020-01-01 06:32:41
138,2,77,2020-01-01 06:27:51,2020-01-01 06:33:25
139,1,78,2020-01-01 06:32:26,2020-01-01 06:40:50
140,1,80,2020-01-01 06:41:18,2020-01-01 06:42:48
141,1,82,2020-01-01 06:48:14,2020-01-01 06:51:13
142,3,82,2020-01-01 06:51:13,2020-01-01 06:54:52
143,5,79,2020-01-01 06:34:08,2020-01-01 06:54:57
144,4,83,2020-01-01 06:51:01,2020-01-01 06:55:57
145,2,83,2020-01-01 06:55:57,2020-01-01 06:59:49
146,1,79,2020-01-01 06:54:57,2020-01-01 07:00:47
147,5,81,2020-01-01 06:43:16,2020-01-01 07:01:21
148,2,81,2020-01-01 07:01:21,2020-01-01 07:05:52
149,4,85,2020-01-01 07:01:12,2020-01-01 07:06:00
150,4,86,2020-01-01 07:08:53,2020-01-01 07:12:09
151,1,85,2020-01-01 07:06:00,2020-01-01 07:12:12
152,1,87,2020-01-01 07:10:36,2020-01-01 07:17:03
153,3,85,2020-01-01 07:12:12,2020-01-01 07:18:21
154,2,87,2020-01-01 07:17:03,2020-01-01 07:21:03
155,5,83,2020-01-01 06:59:49,2020-01-01 07:21:30
